#{"t_start": 1589983442.5878537, "env_id": "HalfCheetah-v2"}
r,l,t
-75.812138,1000,3.215328
-30.379,1000,3.557624
-82.514661,1000,3.898389
-137.839483,1000,4.24078
-7.304108,1000,4.58274
-209.804879,1000,4.924349
-26.991037,1000,5.265518
-88.874683,1000,5.607523
-107.680072,1000,5.94918
126.618845,1000,6.290282
-144.014289,1000,16.165518
-96.195408,1000,24.264613
-115.30234,1000,32.763732
-62.425011,1000,42.176524
-67.078192,1000,51.573802
162.024482,1000,61.721988
-171.649699,1000,72.366565
-83.773211,1000,84.45164
19.957091,1000,94.436883
-185.376228,1000,104.712207
-28.795387,1000,116.283354
258.445287,1000,127.853566
-69.81701,1000,138.528447
357.074245,1000,147.909832
2116.363542,1000,157.922299
-246.039325,1000,167.452869
-39.204514,1000,176.873567
30.226998,1000,186.28883
140.38748,1000,195.70533
1421.548432,1000,205.10517
2233.859569,1000,216.272249
2266.074982,1000,225.681656
2736.640905,1000,235.086973
2282.542189,1000,244.532654
2743.295091,1000,253.994541
35.398851,1000,263.437016
2141.797234,1000,272.916502
2363.11523,1000,282.357761
2025.392919,1000,291.804934
2535.218863,1000,301.467487
2587.505134,1000,312.641255
2321.399879,1000,322.066163
136.558262,1000,331.512786
3108.974111,1000,340.960859
2875.686308,1000,350.393879
355.342312,1000,359.825871
3127.363423,1000,369.269218
923.36407,1000,378.708272
2897.904166,1000,388.174442
1319.161011,1000,397.619886
1738.81789,1000,408.783666
3173.682052,1000,418.237517
1491.666862,1000,427.736433
239.543819,1000,437.585193
767.545633,1000,449.216441
612.561034,1000,461.504751
484.095545,1000,473.164207
576.015814,1000,484.397998
2770.557869,1000,495.293868
1061.422829,1000,505.270723
1135.050481,1000,516.897662
4094.063406,1000,526.504256
723.107327,1000,536.00574
4424.709175,1000,545.814596
1686.262032,1000,555.401349
3908.240494,1000,564.991856
4348.368506,1000,574.780699
4296.154256,1000,584.747801
3960.570435,1000,594.385305
4187.559094,1000,604.413678
3918.737685,1000,616.014555
4132.653914,1000,625.646903
4533.722394,1000,635.882883
931.053603,1000,646.166197
4035.171695,1000,656.748594
34.211513,1000,667.333713
4551.506796,1000,677.288847
4384.442001,1000,687.977982
4882.462617,1000,698.013732
4218.4676,1000,708.327513
4694.774886,1000,720.122975
4581.258581,1000,730.342324
4255.204922,1000,741.449087
4481.934871,1000,752.865627
4817.790557,1000,763.024837
4776.691591,1000,773.396387
4882.118626,1000,783.904695
5020.052883,1000,794.808451
5014.545591,1000,804.826285
4684.075118,1000,814.707099
4856.795903,1000,826.700552
4938.268954,1000,836.536369
4719.900379,1000,846.27323
5024.491201,1000,856.903411
5178.303238,1000,866.84699
4939.098234,1000,877.136216
5206.681533,1000,887.230324
5130.066043,1000,898.3312
5217.803607,1000,909.19595
5122.970152,1000,919.144466
5020.221775,1000,931.159772
4947.497876,1000,941.879663
5242.122173,1000,952.167742
5208.137824,1000,962.456578
5163.965393,1000,972.630553
5332.704493,1000,983.455717
5400.249128,1000,994.237761
5264.467202,1000,1004.604078
5180.274436,1000,1015.083094
4844.45704,1000,1025.553136
5115.642448,1000,1039.068459
5143.814597,1000,1050.214465
5226.20821,1000,1062.173668
5201.792435,1000,1073.18539
5476.297708,1000,1083.258668
5353.021708,1000,1092.764572
5569.335108,1000,1102.276559
5236.347908,1000,1112.123878
5408.149869,1000,1121.68338
5287.418075,1000,1131.274552
5353.414505,1000,1143.077235
5569.174887,1000,1155.5218
5479.9598,1000,1165.846996
5719.27974,1000,1175.783484
5470.192532,1000,1186.993901
5279.512795,1000,1197.743871
5501.501908,1000,1208.514961
5424.457033,1000,1218.035611
5416.504023,1000,1228.189854
5497.832195,1000,1238.289299
5452.523293,1000,1251.859015
5737.179869,1000,1261.712521
5745.105398,1000,1275.264574
5890.74396,1000,1286.096878
5724.126517,1000,1297.381777
5431.163016,1000,1308.643867
5758.30684,1000,1319.583739
5571.382342,1000,1332.003536
5548.930076,1000,1344.066385
5732.796277,1000,1354.842077
5471.025652,1000,1368.29337
5507.192693,1000,1379.028422
5631.904827,1000,1389.563595
5794.045155,1000,1400.268672
5536.921523,1000,1411.005495
5609.71599,1000,1422.690302
5854.597205,1000,1435.794258
5637.754174,1000,1448.06791
5819.816064,1000,1458.878678
5858.014631,1000,1469.563154
5873.563219,1000,1482.38262
5730.392027,1000,1493.394364
5725.080795,1000,1505.095834
5643.987581,1000,1516.541748
5835.656086,1000,1527.832062
5585.22364,1000,1539.26016
5605.674281,1000,1550.662685
5569.362795,1000,1561.964203
5773.896565,1000,1572.804403
5838.517356,1000,1584.725834
5835.041744,1000,1598.128314
5638.357568,1000,1608.616787
5704.133326,1000,1619.520819
5694.587905,1000,1630.301061
5626.075794,1000,1641.769187
5582.959494,1000,1653.354579
5818.839384,1000,1664.262185
5872.019174,1000,1675.261008
5500.859311,1000,1686.789004
5746.104553,1000,1698.070089
5836.960132,1000,1717.819418
5831.579753,1000,1728.886335
5931.635566,1000,1739.77495
5920.096322,1000,1751.093656
5647.838318,1000,1762.26309
5811.528491,1000,1773.612147
5677.97932,1000,1784.986166
5850.50172,1000,1796.335331
5681.577687,1000,1807.692417
5842.241361,1000,1819.992233
5856.276806,1000,1833.896362
6095.688234,1000,1845.633893
6060.539612,1000,1858.093139
5939.951964,1000,1869.526932
5977.498112,1000,1879.34421
5930.042388,1000,1889.533984
6226.762903,1000,1900.279491
5799.390389,1000,1911.166577
5919.347465,1000,1921.363173
5960.239723,1000,1931.341577
5865.079791,1000,1943.537891
6042.23784,1000,1954.17948
5893.089489,1000,1963.818919
5961.279161,1000,1974.09923
6022.336716,1000,1983.806804
6265.712726,1000,1994.244371
6149.98092,1000,2005.245962
6230.65167,1000,2016.297831
5920.451763,1000,2026.306392
6034.624781,1000,2036.739971
5889.747843,1000,2048.741842
6057.071913,1000,2059.508759
5924.164343,1000,2069.936349
6149.900936,1000,2080.123185
6236.339319,1000,2090.851825
6287.511606,1000,2100.978997
5871.385995,1000,2111.668191
5968.873276,1000,2122.367714
5937.655399,1000,2132.317734
5889.299428,1000,2142.397397
6138.142025,1000,2154.542304
6432.361545,1000,2164.45101
6151.322621,1000,2174.416939
6039.483133,1000,2184.457842
6029.731922,1000,2194.238447
5966.13803,1000,2203.858031
6054.954061,1000,2214.895817
6054.605523,1000,2225.934255
6103.649449,1000,2237.347915
6069.781845,1000,2247.314986
6189.139185,1000,2258.846741
6128.817247,1000,2268.916821
5936.115301,1000,2279.362667
5925.112009,1000,2289.308333
6240.23896,1000,2299.351418
6074.067384,1000,2309.740408
6207.21537,1000,2319.542369
6145.534344,1000,2329.644036
6040.470075,1000,2339.27275
6002.333269,1000,2349.058822
6239.500834,1000,2360.66024
6345.112789,1000,2370.271485
6181.74604,1000,2380.308325
6033.591448,1000,2389.976301
6136.977072,1000,2399.587411
6236.805664,1000,2409.124432
6037.317721,1000,2418.648581
6109.500714,1000,2429.748672
6546.617731,1000,2441.180323
6510.439985,1000,2450.740292
6051.415572,1000,2463.043132
5891.969017,1000,2473.352544
6112.175167,1000,2483.232199
6267.702497,1000,2493.274442
6018.401351,1000,2503.358329
6309.101941,1000,2513.475924
6451.296298,1000,2525.94901
6280.58246,1000,2536.707617
6274.394163,1000,2546.791261
6445.77112,1000,2556.816715
6391.44716,1000,2570.780035
6608.61036,1000,2580.894708
2602.513662,1000,2590.930425
6117.004078,1000,2601.600402
6431.98617,1000,2611.96197
6358.989575,1000,2622.289964
6392.084335,1000,2632.996179
6285.473413,1000,2643.409618
6169.400493,1000,2653.525433
6472.596919,1000,2663.482904
6436.067304,1000,2675.558888
6094.278007,1000,2687.50553
6446.3152,1000,2697.987711
6615.648494,1000,2710.446959
6722.272966,1000,2721.396664
6446.566268,1000,2731.806985
6300.738898,1000,2741.430949
6355.701099,1000,2751.646445
6172.877564,1000,2761.986065
6581.350926,1000,2771.922453
6697.192453,1000,2783.779457
6416.397625,1000,2794.213722
6563.940976,1000,2804.228473
6362.120377,1000,2814.495255
6251.068591,1000,2825.073619
6521.019668,1000,2834.596689
6362.057781,1000,2845.104223
6220.690283,1000,2855.668674
6755.5489,1000,2865.40418
6502.217057,1000,2874.938334
6468.172792,1000,2886.265275
6485.796469,1000,2895.813852
6585.325965,1000,2905.33514
6805.607107,1000,2914.878112
6409.999681,1000,2924.427207
6624.804816,1000,2934.65878
6393.637368,1000,2947.61691
6506.398863,1000,2959.632081
6668.043049,1000,2971.214532
6676.930903,1000,2983.052189
6464.686722,1000,2997.696824
6307.717425,1000,3009.595226
6689.844975,1000,3021.69509
6583.369003,1000,3033.092243
6548.481103,1000,3045.439396
6607.514883,1000,3056.942444
6736.674592,1000,3067.883443
6563.549975,1000,3078.873521
6740.566992,1000,3090.689082
6630.281427,1000,3102.745734
